Intern_ID,Department,Internship_Duration_Weeks,Feedback_Score,Supervisor_Rating,Commute_Distance_km,Monthly_Stipend_XAF,Remote_Work_Option,Returned
INT-01693,Admin,6,8.0,4.5,2.2,75000,No,No
INT-01694,IT,18,8.9,8.0,5.5,25000,No,Yes
INT-01695,Admin,6,6.9,6.3,12.7,50000,No,No
INT-01696,IT,10,6.0,9.3,7.7,25000,No,Yes
INT-01697,IT,21,8.6,8.5,10.2,75000,No,Yes
INT-01698,IT,17,9.1,7.0,9.9,50000,No,Yes
INT-01699,Marketing,21,9.2,8.2,6.8,150000,No,Yes
INT-01700,Engineering,22,8.8,6.8,3.5,25000,Yes,Yes
INT-01701,Marketing,17,8.5,7.8,4.9,100000,No,Yes
INT-01702,Admin,23,6.2,6.8,4.3,25000,No,No
INT-01703,Admin,9,6.1,7.3,1.2,50000,No,Yes
INT-01704,Engineering,11,8.2,7.4,18.8,50000,No,No
INT-01705,Admin,10,9.4,4.3,8.7,25000,No,Yes
INT-01706,IT,23,5.9,4.1,16.1,100000,Yes,Yes
INT-01707,Engineering,21,8.6,6.3,12.5,75000,No,No
INT-01708,IT,21,8.7,9.6,1.1,100000,Yes,Yes
INT-01709,Engineering,18,9.1,9.6,2.4,75000,No,Yes
INT-01710,Engineering,23,4.8,4.9,24.6,50000,No,No
INT-01711,IT,22,7.3,4.8,5.5,25000,No,Yes
INT-01712,IT,24,5.4,8.2,13.9,100000,Yes,Yes
INT-01713,Finance,24,9.1,4.3,7.4,75000,No,Yes
INT-01714,Admin,5,8.3,7.3,14.4,0,Yes,Yes
INT-01715,IT,11,7.4,5.3,11.1,25000,Yes,Yes
INT-01716,Marketing,24,8.9,7.2,3.1,25000,Yes,Yes
INT-01717,IT,14,9.2,7.4,38.4,100000,Yes,Yes
INT-01718,Engineering,21,8.8,6.5,5.9,150000,No,Yes
INT-01719,Marketing,16,7.8,8.5,7.5,100000,No,Yes
INT-01720,IT,12,5.2,8.9,6.7,100000,No,Yes
INT-01721,IT,12,7.7,8.2,17.8,50000,Yes,Yes
INT-01722,IT,20,9.3,7.2,3.1,50000,No,Yes
INT-01723,Admin,10,4.9,6.6,1.0,100000,No,Yes
INT-01724,IT,12,7.8,7.0,5.0,50000,Yes,Yes
INT-01725,Engineering,4,7.2,5.7,20.5,100000,No,Yes
INT-01726,IT,5,7.6,4.2,5.1,75000,No,Yes
INT-01727,Engineering,7,8.5,10.0,3.1,50000,No,Yes
INT-01728,Marketing,17,7.2,5.9,8.2,50000,No,No
INT-01729,Finance,7,4.0,8.2,11.2,0,No,No
INT-01730,Engineering,5,6.9,5.4,5.5,150000,No,Yes
INT-01731,Admin,11,8.1,9.7,4.3,100000,No,Yes
INT-01732,Engineering,21,7.7,9.9,4.1,0,No,Yes
INT-01733,Engineering,22,3.9,5.1,4.9,25000,Yes,No
INT-01734,Admin,17,9.6,6.2,15.3,50000,Yes,Yes
INT-01735,IT,23,4.8,4.6,5.8,50000,Yes,Yes
INT-01736,Finance,13,6.4,8.9,3.5,25000,No,Yes
INT-01737,Admin,20,4.7,5.8,2.1,150000,Yes,Yes
INT-01738,IT,11,9.2,9.0,3.2,75000,Yes,Yes
INT-01739,Admin,17,9.2,6.1,5.5,75000,Yes,Yes
INT-01740,Admin,24,7.5,5.8,6.8,50000,No,Yes
INT-01741,Finance,11,7.8,9.3,8.3,75000,No,Yes
INT-01742,Engineering,8,7.9,7.4,1.1,75000,No,Yes
INT-01743,Finance,19,9.4,9.5,8.1,25000,Yes,Yes
INT-01744,IT,11,6.6,5.6,4.0,50000,No,Yes
INT-01745,Admin,13,6.4,7.9,2.9,150000,No,Yes
INT-01746,Admin,11,7.5,7.4,3.7,150000,No,Yes
INT-01747,IT,12,8.0,6.5,12.8,0,Yes,Yes
INT-01748,IT,21,6.5,8.3,13.5,50000,No,Yes
INT-01749,Finance,6,7.6,6.0,1.4,150000,Yes,Yes
INT-01750,IT,20,4.4,6.9,6.0,0,No,Yes
INT-01751,Engineering,23,8.2,7.0,6.5,150000,No,Yes
INT-01752,IT,18,9.1,7.2,0.7,75000,Yes,No
INT-01753,IT,24,7.1,4.0,10.6,75000,No,Yes
INT-01754,IT,20,4.8,5.6,4.2,100000,Yes,Yes
INT-01755,Marketing,11,6.4,4.9,4.8,150000,No,Yes
INT-01756,Finance,5,8.2,5.4,8.0,50000,No,No
INT-01757,Marketing,20,8.1,6.5,5.6,100000,No,Yes
INT-01758,Admin,21,8.8,5.2,11.5,50000,Yes,Yes
INT-01759,IT,8,6.9,1.9,7.7,75000,No,Yes
INT-01760,Engineering,12,9.1,9.2,2.5,100000,No,Yes
INT-01761,Admin,12,7.8,6.7,16.9,25000,Yes,No
INT-01762,Finance,5,9.6,7.5,2.4,25000,No,Yes
INT-01763,IT,5,7.0,9.5,10.5,0,No,Yes
INT-01764,Admin,22,7.0,3.8,13.1,50000,No,No
INT-01765,IT,6,8.2,9.5,9.8,50000,No,Yes
INT-01766,Admin,20,6.9,5.6,4.9,50000,No,No
INT-01767,Engineering,17,6.0,7.1,17.3,100000,No,Yes
INT-01768,Admin,17,8.8,6.1,3.7,25000,No,Yes
INT-01769,Admin,17,8.3,6.6,9.8,100000,Yes,No
INT-01770,Admin,9,7.2,8.6,17.3,0,Yes,No
INT-01771,Admin,6,6.7,8.8,1.9,25000,No,Yes
INT-01772,Finance,4,9.5,5.5,9.0,25000,Yes,Yes
INT-01773,Finance,19,7.2,8.3,19.0,25000,No,No
INT-01774,Marketing,7,6.1,8.8,1.4,150000,Yes,Yes
INT-01775,Finance,4,9.6,7.7,1.8,100000,No,Yes
INT-01776,Admin,20,9.1,9.4,4.3,25000,No,Yes
INT-01777,Engineering,21,9.2,5.4,41.9,150000,Yes,Yes
INT-01778,Admin,11,9.5,7.5,2.5,50000,Yes,Yes
INT-01779,IT,5,7.7,6.3,3.6,75000,Yes,Yes
INT-01780,Finance,21,7.3,8.6,14.9,0,No,Yes
INT-01781,IT,19,7.4,6.0,1.6,75000,Yes,Yes
INT-01782,Marketing,13,6.4,8.0,45.1,0,No,No
INT-01783,Admin,11,8.3,3.6,11.2,75000,Yes,No
INT-01784,Engineering,15,8.0,8.6,26.1,75000,No,Yes
INT-01785,Engineering,19,7.5,5.9,1.7,75000,No,Yes
INT-01786,Finance,15,5.6,6.6,2.6,0,No,Yes
INT-01787,Engineering,14,8.9,6.2,4.2,150000,No,Yes
INT-01788,Engineering,23,9.3,9.8,0.9,50000,Yes,Yes
INT-01789,IT,22,6.6,7.2,1.0,75000,No,Yes
INT-01790,Engineering,4,8.8,6.9,19.2,50000,Yes,Yes
INT-01791,IT,6,8.2,8.8,0.8,100000,Yes,Yes
INT-01792,Engineering,15,9.2,6.2,11.6,25000,No,No
INT-01793,Engineering,12,9.6,9.0,10.6,75000,No,Yes
INT-01794,Engineering,24,7.7,9.9,1.1,75000,No,Yes
INT-01795,IT,8,8.4,7.8,2.2,75000,No,No
INT-01796,IT,4,8.7,4.5,5.4,75000,No,Yes
INT-01797,Engineering,13,9.3,8.1,8.7,0,No,Yes
INT-01798,IT,20,8.5,8.4,18.6,75000,No,Yes
INT-01799,IT,7,5.8,8.0,6.5,100000,No,No
INT-01800,IT,18,9.2,3.1,22.5,75000,Yes,Yes
INT-01801,Marketing,22,7.2,5.6,2.2,150000,No,Yes
INT-01802,Engineering,11,9.1,7.5,8.3,0,No,Yes
INT-01803,Admin,18,6.1,8.6,15.4,50000,Yes,No
INT-01804,IT,10,9.6,7.5,2.6,50000,No,Yes
INT-01805,Admin,18,8.3,5.1,12.9,25000,Yes,Yes
INT-01806,Finance,11,8.7,6.2,4.6,50000,No,Yes
INT-01807,Engineering,13,9.2,4.8,60.0,0,Yes,Yes
INT-01808,IT,21,5.2,7.4,1.3,0,No,Yes
INT-01809,IT,7,5.9,7.3,6.9,75000,No,No
INT-01810,IT,18,4.7,3.8,12.7,0,No,No
INT-01811,Engineering,14,9.4,7.1,9.5,100000,No,Yes
INT-01812,Finance,6,8.2,6.5,6.1,75000,Yes,Yes
INT-01813,IT,18,7.5,3.4,6.3,75000,No,Yes
INT-01814,IT,6,7.9,8.6,4.7,75000,Yes,Yes
INT-01815,IT,18,8.9,5.9,3.9,150000,No,Yes
INT-01816,Marketing,9,8.0,8.4,7.7,50000,No,Yes
INT-01817,IT,4,7.6,6.6,11.5,25000,Yes,Yes
INT-01818,Finance,17,8.4,9.5,3.1,75000,No,Yes
INT-01819,Engineering,19,7.4,8.5,23.9,50000,No,No
INT-01820,Admin,4,5.7,8.8,4.1,150000,Yes,No
INT-01821,IT,24,8.7,7.2,5.1,0,No,Yes
INT-01822,IT,20,8.5,9.0,4.7,75000,No,Yes
INT-01823,Engineering,11,7.4,9.2,1.4,100000,No,Yes
INT-01824,Finance,21,7.3,4.1,1.5,25000,Yes,Yes
INT-01825,Engineering,19,3.9,7.5,13.2,100000,No,No
INT-01826,Engineering,9,7.8,8.3,4.3,75000,Yes,Yes
INT-01827,IT,13,8.0,5.3,2.4,150000,Yes,Yes
INT-01828,Marketing,13,8.0,7.1,10.3,50000,No,Yes
INT-01829,Finance,8,6.6,6.6,26.2,25000,No,No
INT-01830,IT,15,7.6,7.6,22.6,75000,Yes,No
INT-01831,Marketing,23,9.3,9.4,10.8,50000,No,No
INT-01832,Engineering,20,9.1,8.6,2.2,25000,Yes,Yes
INT-01833,Engineering,17,9.0,4.4,1.8,75000,No,Yes
INT-01834,Engineering,17,7.2,9.4,16.9,100000,No,Yes
INT-01835,Finance,6,7.8,7.4,26.8,150000,No,No
INT-01836,Engineering,15,8.2,9.0,8.3,25000,Yes,Yes
INT-01837,IT,23,9.3,5.5,19.0,50000,No,Yes
INT-01838,Admin,21,5.1,9.3,14.0,25000,Yes,No
INT-01839,Marketing,15,8.8,8.9,1.8,150000,Yes,Yes
INT-01840,IT,5,8.1,8.8,2.5,100000,No,Yes
INT-01841,Admin,5,8.7,4.5,1.1,75000,No,Yes
INT-01842,Admin,20,8.5,4.5,5.6,150000,No,Yes
INT-01843,Admin,13,9.5,8.8,3.6,100000,No,Yes
INT-01844,Engineering,21,8.2,6.8,4.9,0,Yes,Yes
INT-01845,Marketing,22,8.7,7.6,0.6,100000,No,Yes
INT-01846,IT,24,7.3,5.6,10.7,25000,No,Yes
INT-01847,IT,4,8.7,8.3,2.3,50000,No,Yes
INT-01848,IT,7,8.2,9.1,4.2,25000,No,Yes
INT-01849,Finance,7,8.5,7.3,4.6,0,Yes,Yes
INT-01850,Engineering,5,8.3,6.0,1.0,75000,Yes,Yes
INT-01851,IT,22,8.8,3.1,4.1,150000,Yes,Yes
INT-01852,Finance,24,8.9,5.7,18.9,0,No,Yes
INT-01853,Finance,15,7.5,8.7,18.4,75000,Yes,Yes
INT-01854,Finance,13,7.2,8.7,0.7,25000,No,Yes
INT-01855,Marketing,16,9.3,7.3,0.7,0,Yes,Yes
INT-01856,IT,23,7.2,8.3,7.7,150000,No,No
INT-01857,Finance,18,6.5,9.6,2.3,0,No,Yes
INT-01858,Admin,6,7.9,6.4,18.8,25000,Yes,No
INT-01859,Finance,23,6.7,8.1,5.8,25000,No,Yes
INT-01860,Engineering,16,7.3,6.5,3.7,150000,No,Yes
INT-01861,Finance,11,7.4,7.2,25.0,50000,Yes,No
INT-01862,Engineering,10,8.6,8.9,3.6,0,No,Yes
INT-01863,IT,11,6.0,7.1,3.6,25000,No,No
INT-01864,Engineering,21,8.8,6.4,1.6,50000,Yes,Yes
INT-01865,Marketing,12,7.6,8.0,2.5,100000,Yes,Yes
INT-01866,Marketing,9,9.5,9.5,11.9,25000,No,Yes
INT-01867,IT,7,7.7,6.7,11.9,50000,No,Yes
INT-01868,IT,18,8.2,7.1,4.4,50000,Yes,Yes
INT-01869,IT,8,7.7,7.7,3.9,75000,No,Yes
INT-01870,Engineering,8,6.9,8.2,4.8,0,No,No
INT-01871,Finance,10,5.7,9.4,3.4,50000,No,Yes
INT-01872,IT,12,6.6,8.6,8.0,0,No,No
INT-01873,Engineering,10,6.7,5.9,15.0,150000,No,Yes
INT-01874,Finance,12,7.6,7.0,0.6,150000,No,Yes
INT-01875,Engineering,23,8.5,7.8,22.5,75000,No,Yes
INT-01876,Engineering,13,7.1,7.1,1.5,150000,Yes,Yes
INT-01877,Engineering,7,8.5,8.9,18.9,75000,No,Yes
INT-01878,Engineering,9,8.3,6.9,2.6,50000,No,Yes
INT-01879,IT,17,9.3,6.7,20.4,25000,No,No
INT-01880,Engineering,12,6.2,9.1,12.9,150000,No,No
INT-01881,Engineering,4,9.0,2.9,3.0,25000,Yes,Yes
INT-01882,Finance,20,6.9,8.8,0.7,100000,Yes,Yes
INT-01883,Engineering,16,7.5,9.4,10.6,50000,Yes,Yes
INT-01884,Finance,10,8.9,6.3,14.3,50000,Yes,Yes
INT-01885,IT,12,8.9,6.5,9.6,25000,No,Yes
INT-01886,Admin,14,5.6,6.8,4.3,100000,No,Yes
INT-01887,IT,6,7.9,7.6,1.6,100000,No,Yes
INT-01888,IT,15,9.1,7.0,3.9,100000,Yes,Yes
INT-01889,Engineering,24,7.5,5.5,3.0,75000,No,Yes
INT-01890,Marketing,6,7.4,5.5,10.8,0,No,No
INT-01891,IT,18,6.4,5.7,1.9,50000,Yes,Yes
INT-01892,Admin,24,9.6,7.1,14.2,100000,Yes,No
INT-01893,Finance,13,6.6,6.1,8.1,150000,Yes,Yes
INT-01894,IT,4,8.9,4.0,5.8,100000,No,Yes
INT-01895,Engineering,17,7.8,7.7,4.1,75000,Yes,Yes
INT-01896,Engineering,23,8.7,7.4,6.2,100000,No,Yes
INT-01897,Engineering,9,6.9,9.0,6.7,50000,No,Yes
INT-01898,IT,5,7.6,7.8,2.7,75000,Yes,Yes
INT-01899,Admin,11,6.9,9.5,36.4,100000,No,No
INT-01900,Finance,4,6.2,6.6,19.7,50000,No,No
INT-01901,Engineering,7,8.5,7.5,4.5,25000,Yes,Yes
INT-01902,IT,7,9.6,6.4,2.8,150000,Yes,Yes
INT-01903,Finance,8,7.8,6.2,3.4,100000,No,Yes
INT-01904,IT,23,7.2,7.3,31.9,25000,No,No
INT-01905,Engineering,12,7.3,8.6,4.7,25000,Yes,Yes
INT-01906,IT,16,4.7,7.9,19.9,75000,No,No
INT-01907,Marketing,21,5.2,8.9,1.0,75000,No,Yes
INT-01908,Admin,20,4.1,8.0,12.5,75000,No,No
INT-01909,Admin,4,8.7,9.1,12.0,150000,Yes,Yes
INT-01910,IT,18,7.0,5.7,8.9,50000,No,Yes
INT-01911,Admin,5,6.5,5.2,1.5,25000,No,Yes
INT-01912,Finance,19,9.4,5.1,32.4,25000,No,No
INT-01913,Marketing,23,7.1,9.1,2.4,75000,No,Yes
INT-01914,Admin,8,7.0,6.4,10.4,150000,Yes,Yes
INT-01915,Admin,22,9.2,7.4,11.6,75000,Yes,Yes
INT-01916,Engineering,8,9.1,7.9,11.9,25000,Yes,No
INT-01917,Finance,5,5.1,5.2,14.5,75000,No,No
INT-01918,Engineering,10,8.2,6.7,36.7,50000,No,No
INT-01919,Admin,6,9.1,6.9,1.3,50000,No,Yes
INT-01920,Admin,20,5.0,5.0,5.6,75000,No,No
INT-01921,Engineering,6,5.3,6.1,30.0,50000,No,No
INT-01922,IT,16,6.1,6.4,17.6,150000,Yes,No
INT-01923,Engineering,10,5.2,6.9,37.9,100000,No,No
INT-01924,Admin,6,7.8,5.1,7.5,50000,No,No
INT-01925,Finance,18,5.5,6.4,9.4,50000,No,No
INT-01926,IT,21,5.9,3.7,3.0,50000,No,Yes
INT-01927,Engineering,13,6.6,5.7,5.4,50000,No,No
INT-01928,Admin,10,8.7,7.3,0.7,75000,Yes,Yes
INT-01929,Engineering,12,8.4,7.4,10.7,100000,No,Yes
INT-01930,IT,8,8.5,9.6,21.3,25000,No,Yes
INT-01931,Engineering,23,8.6,8.1,1.5,150000,No,Yes
INT-01932,Engineering,11,6.2,8.4,5.3,50000,Yes,Yes
INT-01933,Engineering,17,8.9,8.4,8.3,75000,No,Yes
INT-01934,Engineering,7,5.4,7.3,8.5,100000,No,No
INT-01935,Engineering,23,7.3,9.0,3.4,100000,No,Yes
INT-01936,Finance,17,5.9,6.7,0.7,50000,Yes,No
INT-01937,IT,15,7.2,8.0,18.0,50000,No,Yes
INT-01938,Finance,5,4.6,8.1,1.3,75000,No,Yes
INT-01939,Admin,16,7.9,8.8,2.1,150000,Yes,Yes
INT-01940,IT,4,9.6,5.3,26.8,150000,No,No
INT-01941,IT,23,8.1,4.4,6.1,75000,No,Yes
INT-01942,Admin,10,3.9,2.4,17.1,25000,No,No
INT-01943,Finance,12,8.6,9.3,18.7,75000,No,Yes
INT-01944,Engineering,20,8.6,7.1,36.9,100000,Yes,No
INT-01945,Finance,24,5.4,5.6,0.8,150000,No,No
INT-01946,Engineering,16,6.3,7.7,0.9,50000,No,Yes
INT-01947,Admin,13,5.4,8.2,2.2,75000,No,Yes
INT-01948,IT,19,6.9,6.3,9.0,150000,No,Yes
INT-01949,Admin,9,6.4,3.3,2.9,100000,No,Yes
INT-01950,Admin,19,8.4,4.5,6.0,0,No,Yes
INT-01951,IT,14,7.3,7.1,12.8,150000,Yes,Yes
INT-01952,IT,23,6.4,7.5,2.1,25000,No,No
INT-01953,Engineering,6,8.1,8.8,3.2,100000,No,Yes
INT-01954,Engineering,12,8.1,8.2,10.9,50000,No,Yes
INT-01955,Marketing,18,7.7,6.5,0.6,25000,Yes,Yes
INT-01956,Marketing,16,8.0,7.0,11.8,100000,No,No
INT-01957,Engineering,13,7.3,8.4,9.5,0,Yes,No
INT-01958,Admin,23,6.5,4.7,1.6,75000,No,No
INT-01959,Engineering,16,6.9,5.0,2.7,25000,No,No
INT-01960,Finance,20,6.0,8.5,0.6,25000,No,No
INT-01961,IT,10,9.4,8.1,7.5,50000,Yes,Yes
INT-01962,Admin,9,6.1,8.2,4.5,150000,No,Yes
INT-01963,Finance,16,9.3,8.1,4.9,150000,No,Yes
INT-01964,Admin,20,9.4,9.3,1.4,25000,Yes,Yes
INT-01965,Engineering,18,9.5,7.0,4.0,100000,No,Yes
INT-01966,Engineering,7,6.9,7.3,20.6,75000,No,No
INT-01967,IT,18,8.6,5.6,1.0,50000,Yes,Yes
INT-01968,Admin,17,3.6,3.8,30.0,0,Yes,Yes
INT-01969,Admin,24,9.5,7.7,15.6,50000,No,Yes
INT-01970,IT,14,6.1,4.4,2.3,100000,No,No
INT-01971,IT,7,9.4,8.7,10.3,0,No,Yes
INT-01972,Finance,6,9.1,6.5,1.3,50000,Yes,Yes
INT-01973,IT,5,7.6,7.6,1.9,0,Yes,Yes
INT-01974,Engineering,23,9.3,8.7,5.9,0,No,Yes
INT-01975,IT,13,6.0,8.9,4.6,25000,No,No
INT-01976,Marketing,16,6.4,7.1,14.0,100000,No,No
INT-01977,IT,23,6.4,5.5,22.9,50000,No,Yes
INT-01978,Admin,24,5.7,8.8,23.4,75000,No,No
INT-01979,Finance,21,3.5,7.8,1.8,150000,No,Yes
INT-01980,Finance,24,7.0,7.7,9.8,0,Yes,No
INT-01981,IT,19,9.1,8.0,7.3,100000,No,Yes
INT-01982,Finance,14,8.6,7.4,4.2,25000,No,Yes
INT-01983,Admin,13,4.8,8.0,42.6,0,No,No
INT-01984,Admin,12,5.8,7.9,5.4,75000,No,No
INT-01985,IT,15,8.1,6.1,9.3,75000,Yes,Yes
INT-01986,IT,22,6.4,7.1,6.1,75000,Yes,Yes
INT-01987,Engineering,4,7.1,7.9,1.4,25000,Yes,Yes
INT-01988,Admin,21,8.8,4.5,1.7,25000,No,No
INT-01989,Admin,17,7.0,9.0,11.6,25000,No,Yes
INT-01990,Engineering,24,8.5,7.9,13.4,25000,No,Yes
INT-01991,Finance,4,5.9,7.1,4.1,50000,No,Yes
INT-01992,IT,20,8.3,5.8,1.1,150000,No,Yes
INT-01993,Engineering,14,6.6,5.1,25.7,150000,Yes,Yes
INT-01994,IT,23,6.5,9.1,6.0,0,No,Yes
INT-01995,Finance,18,7.6,3.8,1.7,0,No,No
INT-01996,Engineering,7,8.5,6.0,2.3,75000,Yes,Yes
INT-01997,Marketing,18,4.8,9.1,0.9,50000,Yes,Yes
INT-01998,IT,17,8.3,8.2,10.4,50000,No,Yes
INT-01999,IT,4,5.7,4.7,10.2,150000,Yes,No
INT-02000,IT,12,4.4,3.9,7.9,75000,No,No
INT-02001,IT,10,8.9,8.1,6.8,25000,No,Yes
INT-02002,IT,14,8.7,8.0,4.3,150000,Yes,Yes
INT-02003,Marketing,5,7.9,7.6,24.6,50000,Yes,No
INT-02004,IT,5,6.7,7.0,13.4,75000,No,No
INT-02005,IT,9,6.5,6.9,19.6,150000,Yes,No
INT-02006,Finance,22,6.9,7.1,3.5,25000,No,No
INT-02007,Admin,23,8.7,7.4,31.1,0,No,No
INT-02008,Finance,17,8.5,9.0,1.9,25000,No,Yes
INT-02009,IT,6,9.2,9.2,1.0,25000,No,Yes
INT-02010,Admin,10,5.9,8.8,3.6,50000,No,Yes
INT-02011,IT,10,7.6,7.0,2.3,50000,No,No
INT-02012,IT,7,4.9,9.4,6.3,75000,No,No
INT-02013,Marketing,8,7.7,7.8,3.9,50000,No,Yes
INT-02014,IT,20,6.6,9.3,2.0,75000,Yes,Yes
INT-02015,Engineering,7,6.7,7.9,15.4,25000,No,No
INT-02016,Admin,16,5.5,5.8,6.2,75000,No,Yes
INT-02017,Admin,19,8.6,9.8,1.4,150000,No,Yes
INT-02018,Finance,19,9.5,5.7,1.1,0,No,No
INT-02019,IT,5,6.8,9.6,4.4,50000,Yes,Yes
INT-02020,Engineering,21,8.1,8.3,19.6,75000,No,Yes
INT-02021,Marketing,4,7.5,8.3,6.2,25000,Yes,Yes
INT-02022,Engineering,21,5.8,8.8,1.7,25000,Yes,Yes
INT-02023,Marketing,11,5.8,8.3,2.8,150000,No,Yes
INT-02024,IT,14,8.6,8.7,0.9,75000,Yes,Yes
INT-02025,Admin,18,8.2,3.4,14.8,150000,Yes,Yes
INT-02026,IT,19,9.6,5.4,23.9,150000,No,Yes
INT-02027,Engineering,20,7.5,8.2,1.1,25000,No,Yes
INT-02028,Marketing,20,8.0,7.6,2.0,100000,No,Yes
INT-02029,IT,15,9.0,7.7,2.0,25000,No,No
INT-02030,Engineering,13,8.6,5.6,13.5,100000,Yes,Yes
INT-02031,IT,23,6.3,5.0,15.1,100000,Yes,No
INT-02032,Engineering,9,7.8,9.0,4.8,150000,No,Yes
INT-02033,Admin,11,9.0,7.2,28.4,150000,No,Yes
INT-02034,Marketing,16,7.6,6.6,2.9,75000,Yes,Yes
INT-02035,Engineering,5,8.1,7.2,6.5,75000,No,Yes
INT-02036,Admin,22,5.7,7.5,45.3,100000,No,No
INT-02037,IT,13,8.8,7.3,14.5,100000,No,Yes
INT-02038,IT,7,4.9,6.3,5.8,50000,No,No
INT-02039,IT,15,8.7,9.2,1.4,25000,No,Yes
INT-02040,IT,21,7.8,9.1,19.3,100000,No,Yes
INT-02041,Finance,10,6.2,9.3,6.7,75000,Yes,Yes
INT-02042,Engineering,23,9.2,7.6,3.4,75000,No,Yes
INT-02043,Engineering,7,8.1,4.4,5.3,50000,Yes,Yes
INT-02044,IT,10,7.8,4.1,3.5,150000,No,Yes
INT-02045,Finance,13,7.7,8.3,6.9,100000,No,Yes
INT-02046,Engineering,18,8.5,5.4,3.0,25000,Yes,Yes
INT-02047,IT,15,6.9,6.8,5.2,25000,Yes,Yes
INT-02048,Engineering,4,9.4,3.7,4.9,50000,No,Yes
INT-02049,Engineering,23,9.1,6.5,8.2,75000,No,Yes
INT-02050,IT,21,6.0,8.0,0.6,25000,No,Yes
INT-02051,Admin,19,5.5,9.4,7.8,50000,No,No
INT-02052,Admin,8,7.2,9.4,7.7,25000,Yes,No
INT-02053,IT,22,8.2,8.7,4.5,50000,Yes,Yes
INT-02054,Marketing,7,7.2,4.4,2.8,75000,No,Yes
INT-02055,Finance,9,8.8,7.8,15.1,25000,Yes,Yes
INT-02056,Engineering,20,5.1,8.4,3.9,150000,No,Yes
INT-02057,Admin,10,7.6,8.3,3.5,150000,No,Yes
INT-02058,Admin,10,8.4,7.5,5.5,75000,No,Yes
INT-02059,Engineering,12,9.2,4.4,3.1,25000,No,No
INT-02060,Engineering,16,7.3,9.0,14.7,50000,No,Yes
INT-02061,IT,23,6.7,8.4,7.2,75000,No,Yes
INT-02062,Engineering,17,8.8,7.4,11.7,25000,No,Yes
INT-02063,Finance,19,9.6,3.6,11.4,100000,No,Yes
INT-02064,Admin,12,8.5,7.6,12.9,0,Yes,Yes
INT-02065,IT,18,7.8,7.8,16.8,25000,Yes,Yes
INT-02066,Finance,8,8.1,7.3,20.7,50000,No,Yes
INT-02067,IT,21,6.5,8.4,4.4,150000,No,Yes
INT-02068,IT,24,7.8,5.9,5.2,100000,No,Yes
INT-02069,IT,23,9.2,6.4,0.9,0,No,Yes
INT-02070,Admin,11,6.2,8.4,21.3,50000,No,No
INT-02071,Finance,18,9.6,9.0,7.6,75000,No,Yes
INT-02072,Engineering,24,5.0,7.6,10.5,75000,Yes,Yes
INT-02073,IT,12,8.4,8.7,5.1,50000,No,Yes
INT-02074,Finance,22,5.5,7.3,5.6,25000,Yes,No
INT-02075,Finance,9,6.1,8.1,6.8,50000,No,No
INT-02076,Finance,7,5.1,8.6,13.2,75000,Yes,Yes
INT-02077,IT,14,9.8,5.6,8.1,100000,No,Yes
INT-02078,Admin,13,8.4,7.5,13.8,50000,No,Yes
INT-02079,Marketing,6,7.0,9.0,2.5,150000,No,Yes
INT-02080,Finance,4,6.5,5.5,2.3,150000,No,Yes
INT-02081,IT,15,9.9,4.6,2.4,100000,Yes,Yes
INT-02082,IT,18,6.7,5.5,0.5,25000,Yes,Yes
INT-02083,Admin,18,7.7,8.3,2.1,100000,Yes,Yes
INT-02084,Marketing,24,6.7,7.9,1.5,50000,Yes,Yes
INT-02085,Engineering,17,8.9,8.9,5.3,25000,Yes,Yes
INT-02086,Admin,10,6.5,9.2,1.6,100000,No,Yes
INT-02087,IT,20,6.5,9.1,4.8,50000,No,Yes
INT-02088,Engineering,22,7.0,5.3,60.0,25000,Yes,No
INT-02089,Finance,10,5.9,7.7,6.1,75000,Yes,Yes
INT-02090,Admin,6,6.4,6.4,21.2,25000,No,No
INT-02091,Finance,6,6.1,8.9,10.2,50000,No,No
INT-02092,Marketing,21,9.0,8.8,18.5,50000,No,Yes
INT-02093,IT,23,8.5,9.7,8.4,50000,No,Yes
INT-02094,Engineering,17,7.3,7.3,13.8,50000,Yes,No
INT-02095,IT,6,7.1,5.9,3.4,75000,No,No
INT-02096,Finance,10,5.0,6.1,4.2,0,Yes,No
INT-02097,Engineering,10,4.3,5.9,26.3,50000,No,No
INT-02098,Engineering,8,9.1,8.2,3.0,50000,No,Yes
INT-02099,Finance,6,8.4,8.8,4.9,50000,No,Yes
INT-02100,Admin,21,7.1,7.5,8.9,75000,No,No
INT-02101,Marketing,18,6.5,8.5,4.5,75000,Yes,Yes
INT-02102,Engineering,23,8.6,8.2,0.7,50000,No,Yes
INT-02103,IT,17,9.2,6.4,13.1,100000,No,Yes
INT-02104,Engineering,7,9.8,9.2,3.8,25000,No,No
INT-02105,Finance,11,7.5,4.1,2.6,50000,Yes,No
INT-02106,Admin,24,7.0,8.8,6.1,75000,Yes,Yes
INT-02107,Finance,16,7.8,7.8,0.6,150000,No,Yes
INT-02108,Marketing,11,7.4,3.2,16.5,100000,No,No
INT-02109,IT,18,9.5,6.8,2.9,25000,Yes,Yes
INT-02110,Marketing,20,9.1,7.4,21.0,0,Yes,No
INT-02111,IT,8,8.1,9.8,9.6,75000,No,Yes
INT-02112,IT,23,8.7,5.8,6.9,50000,Yes,Yes
INT-02113,IT,7,5.7,8.2,13.6,50000,No,No
